
Image Name                     PID Session Name        Session#    Mem Usage
RuntimeBroker.exe             4000 Console                    1     13,584 K
chrome.exe                   10256 Console                    1     31,860 K
chrome.exe                   10296 Console                    1     43,572 K
svchost.exe                  10740 Console                    1     16,288 K
SystemSettingsBroker.exe     10784 Console                    1     21,256 K
svchost.exe                  10964 Services                   0      7,228 K
svchost.exe                  11024 Console                    1     11,392 K
svchost.exe                  11196 Services                   0     13,088 K
svchost.exe                  10420 Services                   0     11,252 K
svchost.exe                  11812 Services                   0      5,720 K
svchost.exe                  12020 Services                   0     13,788 K
SecurityHealthSystray.exe     8264 Console                    1     10,392 K
SecurityHealthService.exe     8632 Services                   0     19,644 K
rsHelper.exe                 10116 Console                    1     13,612 K
WsToastNotification.exe       3212 Console                    1     12,612 K
conhost.exe                   3292 Console                    1      8,040 K
rsAppUI.exe                  10128 Console                    1     35,412 K
rsAppUI.exe                  12376 Console                    1     35,648 K
rsAppUI.exe                  12436 Console                    1     20,596 K
rsAppUI.exe                  12560 Console                    1     38,656 K
chrome.exe                   12860 Console                    1     78,960 K
RtkAudUService64.exe         13204 Console                    1     11,488 K
Focusrite Notifier.exe       11620 Console                    1     10,468 K
AvastUI.exe                   8824 Console                    1     40,048 K
OneDrive.exe                 10492 Console                    1     41,600 K
opera.exe                    13252 Console                    1    101,188 K
opera_crashreporter.exe      10680 Console                    1      8,584 K
opera.exe                     8552 Console                    1     43,088 K
opera.exe                    11936 Console                    1     33,788 K
opera.exe                    12976 Console                    1     18,400 K
chrome.exe                    9204 Console                    1     15,640 K
opera.exe                     4204 Console                    1     13,628 K
opera.exe                     1864 Console                    1     12,976 K
opera.exe                    11636 Console                    1     45,224 K
opera.exe                      468 Console                    1      8,712 K
opera.exe                    13448 Console                    1     14,076 K
opera.exe                    13468 Console                    1      9,992 K
opera.exe                    13624 Console                    1     11,704 K
opera.exe                    13756 Console                    1      9,628 K
svchost.exe                  13948 Console                    1     19,464 K
opera.exe                    14004 Console                    1     13,856 K
svchost.exe                  14228 Services                   0     19,184 K
opera.exe                    13132 Console                    1     18,764 K
svchost.exe                  11564 Services                   0     12,064 K
stpass.exe                   11912 Console                    1      9,460 K
WidgetService.exe            14324 Console                    1     13,088 K
opera.exe                     4388 Console                    1     37,620 K
msedgewebview2.exe           12036 Console                    1      7,292 K
msedgewebview2.exe            7188 Console                    1     10,124 K
msedgewebview2.exe           14148 Console                    1      1,324 K
msedgewebview2.exe            2820 Console                    1      7,216 K
msedgewebview2.exe            2204 Console                    1        964 K
msedgewebview2.exe            2068 Console                    1     82,492 K
RuntimeBroker.exe             7416 Console                    1      7,048 K
opera.exe                     3360 Console                    1     38,972 K
spUIAManager.exe              8012 Console                    1     26,508 K
opera.exe                     7576 Console                    1     34,424 K
opera.exe                     3744 Console                    1     36,188 K
opera.exe                    11288 Console                    1     36,052 K
opera.exe                     4424 Console                    1     38,816 K
chrome.exe                   14692 Console                    1     22,316 K
